,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
169,02/04/2019 10:21 AM,33,FanOff,50,55,ExhFanOFF,93,LightOFF,60,PumpOff,ProcessOFF
170,02/04/2019 10:21 AM,33,FanOff,49,55,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
171,02/04/2019 10:20 AM,33,FanOff,50,55,ExhFanOFF,127,LightOFF,60,PumpOff,ProcessOFF
172,02/04/2019 10:19 AM,33,FanOff,50,55,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
173,02/04/2019 10:19 AM,33,FanOff,50,54,ExhFanOFF,45,LightOFF,60,PumpOff,ProcessOFF
174,02/04/2019 10:18 AM,33,FanOff,50,54,ExhFanOFF,42,LightOFF,60,PumpOff,ProcessOFF
175,02/04/2019 10:18 AM,33,FanOff,50,54,ExhFanOFF,40,LightOFF,60,PumpOff,ProcessOFF
176,02/04/2019 10:17 AM,33,FanOff,50,55,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
177,02/04/2019 10:16 AM,33,FanOff,50,55,ExhFanOFF,111,LightOFF,60,PumpOff,ProcessOFF
178,02/04/2019 10:16 AM,33,FanOff,50,54,ExhFanOFF,44,LightOFF,60,PumpOff,ProcessOFF
179,02/04/2019 10:15 AM,33,FanOff,50,54,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
180,02/04/2019 10:15 AM,33,FanOff,50,54,ExhFanOFF,51,LightOFF,60,PumpOff,ProcessOFF
181,02/04/2019 10:14 AM,33,FanOff,50,54,ExhFanOFF,38,LightOFF,60,PumpOff,ProcessOFF
182,02/04/2019 10:13 AM,33,FanOff,50,54,ExhFanOFF,52,LightOFF,60,PumpOff,ProcessOFF
183,02/04/2019 10:13 AM,33,FanOff,50,54,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
184,02/04/2019 10:12 AM,33,FanOff,50,54,ExhFanOFF,86,LightOFF,60,PumpOff,ProcessOFF
185,02/04/2019 10:12 AM,33,FanOff,50,54,ExhFanOFF,43,LightOFF,60,PumpOff,ProcessOFF
186,02/04/2019 10:11 AM,33,FanOff,50,54,ExhFanOFF,227,LightOFF,60,PumpOff,ProcessOFF
187,02/04/2019 10:10 AM,33,FanOff,50,55,ExhFanOFF,100,LightOFF,60,PumpOff,ProcessOFF
188,02/04/2019 10:10 AM,33,FanOff,50,54,ExhFanOFF,44,LightOFF,60,PumpOff,ProcessOFF
189,02/04/2019 10:09 AM,33,FanOff,50,54,ExhFanOFF,163,LightOFF,60,PumpOff,ProcessOFF
190,02/04/2019 10:09 AM,33,FanOff,50,55,ExhFanOFF,183,LightOFF,60,PumpOff,ProcessOFF
191,02/04/2019 10:08 AM,33,FanOff,50,54,ExhFanOFF,56,LightOFF,60,PumpOff,ProcessOFF
192,02/04/2019 10:07 AM,33,FanOff,50,55,ExhFanOFF,40,LightOFF,60,PumpOff,ProcessOFF
193,02/04/2019 10:07 AM,33,FanOff,50,55,ExhFanOFF,66,LightOFF,60,PumpOff,ProcessOFF
194,02/04/2019 10:06 AM,33,FanOff,50,55,ExhFanOFF,212,LightOFF,60,PumpOff,ProcessOFF
195,02/04/2019 10:06 AM,33,FanOff,50,55,ExhFanOFF,230,LightOFF,60,PumpOff,ProcessOFF
196,02/04/2019 10:05 AM,33,FanOff,50,54,ExhFanOFF,201,LightOFF,60,PumpOff,ProcessOFF
197,02/04/2019 10:04 AM,33,FanOff,50,55,ExhFanOFF,100,LightOFF,60,PumpOff,ProcessOFF
198,02/04/2019 10:04 AM,33,FanOff,50,55,ExhFanOFF,40,LightOFF,60,PumpOff,ProcessOFF
199,02/04/2019 10:03 AM,33,FanOff,50,54,ExhFanOFF,204,LightOFF,60,PumpOff,ProcessOFF
200,02/04/2019 10:03 AM,33,FanOff,50,55,ExhFanOFF,54,LightOFF,60,PumpOff,ProcessOFF
201,02/04/2019 10:02 AM,33,FanOff,50,54,ExhFanOFF,76,LightOFF,60,PumpOff,ProcessOFF
202,02/04/2019 10:01 AM,33,FanOff,50,55,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
203,02/04/2019 10:01 AM,33,FanOff,50,55,ExhFanOFF,216,LightOFF,60,PumpOff,ProcessOFF
204,02/04/2019 10:00 AM,33,FanOff,50,55,ExhFanOFF,121,LightOFF,60,PumpOff,ProcessOFF
205,02/04/2019 10:00 AM,33,FanOff,50,55,ExhFanOFF,68,LightOFF,60,PumpOff,ProcessOFF
206,02/04/2019 09:59 AM,33,FanOff,50,55,ExhFanOFF,203,LightOFF,60,PumpOff,ProcessOFF
